page_name,pid,description,keywords,thumbnail,full
sc-page038,p0052,page 38,,/img/derivatives/simple/p0052/thumbnail.jpg,/img/derivatives/simple/p0052/full.jpg
sc-page039,p0053,page 39,,/img/derivatives/simple/p0053/thumbnail.jpg,/img/derivatives/simple/p0053/full.jpg
sc-page040,p0054,page 40,,/img/derivatives/simple/p0054/thumbnail.jpg,/img/derivatives/simple/p0054/full.jpg
sc-page041,p0055,page 41,,/img/derivatives/simple/p0055/thumbnail.jpg,/img/derivatives/simple/p0055/full.jpg
sc-page042,p0056,page 42,,/img/derivatives/simple/p0056/thumbnail.jpg,/img/derivatives/simple/p0056/full.jpg
sc-page043,p0057,page 43,,/img/derivatives/simple/p0057/thumbnail.jpg,/img/derivatives/simple/p0057/full.jpg
sc-page044,p0058,page 44,,/img/derivatives/simple/p0058/thumbnail.jpg,/img/derivatives/simple/p0058/full.jpg
sc-page045,p0059,page 45,,/img/derivatives/simple/p0059/thumbnail.jpg,/img/derivatives/simple/p0059/full.jpg
sc-page046,p0060,page 46,,/img/derivatives/simple/p0060/thumbnail.jpg,/img/derivatives/simple/p0060/full.jpg
sc-page047,p0061,end of book i,,/img/derivatives/simple/p0061/thumbnail.jpg,/img/derivatives/simple/p0061/full.jpg
sc-page048,p0062,blank page verso,,/img/derivatives/simple/p0062/thumbnail.jpg,/img/derivatives/simple/p0062/full.jpg
sc-page049,p0063,book ii title page,,/img/derivatives/simple/p0063/thumbnail.jpg,/img/derivatives/simple/p0063/full.jpg
sc-page050,p0064,blank page verso,,/img/derivatives/simple/p0064/thumbnail.jpg,/img/derivatives/simple/p0064/full.jpg
sc-page051,p0065,advertisement to book ii,,/img/derivatives/simple/p0065/thumbnail.jpg,/img/derivatives/simple/p0065/full.jpg
sc-page052,p0066,argument to book ii,,/img/derivatives/simple/p0066/thumbnail.jpg,/img/derivatives/simple/p0066/full.jpg
sc-page053,p0067,page 53,,/img/derivatives/simple/p0067/thumbnail.jpg,/img/derivatives/simple/p0067/full.jpg
sc-page054,p0068,page 54,,/img/derivatives/simple/p0068/thumbnail.jpg,/img/derivatives/simple/p0068/full.jpg
sc-page055,p0069,page 55,,/img/derivatives/simple/p0069/thumbnail.jpg,/img/derivatives/simple/p0069/full.jpg
sc-page056,p0070,page 56,,/img/derivatives/simple/p0070/thumbnail.jpg,/img/derivatives/simple/p0070/full.jpg
sc-page057,p0071,page 57,,/img/derivatives/simple/p0071/thumbnail.jpg,/img/derivatives/simple/p0071/full.jpg
sc-page058,p0072,page 58,,/img/derivatives/simple/p0072/thumbnail.jpg,/img/derivatives/simple/p0072/full.jpg
sc-page059,p0073,page 59,,/img/derivatives/simple/p0073/thumbnail.jpg,/img/derivatives/simple/p0073/full.jpg
sc-page060,p0074,page 60,,/img/derivatives/simple/p0074/thumbnail.jpg,/img/derivatives/simple/p0074/full.jpg
